tissue	phenotype	rcp_threshold	corr_eqtl_gwas_pearson	corr_eqtl_gwas_spearman	concordance_pearson	concordance_spearman	conc_baseline_pearson	conc_baseline_spearman	n	ld_1st_quartile	ld_median	ld_3rd_quartile
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0	0.0750949720785578	0.0404077643603855	0.128944641561421	0.149630186175619	0.119633347323746	0.144518343013765	4878	0.00946141239731955	0.0459944256001864	0.165807165302106
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.01	0.0674145487859003	0.00151213212810145	0.290558955219954	0.317533051087807	0.108726896120215	0.148223127713764	174	0.0161026102657685	0.0684871403949794	0.19557820965218
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.05	-0.0910408713228761	-0.11566939611238	0.355400904467321	0.345114031113125	0.136440974241525	0.149927383250038	43	0.020477393899118	0.0648790892534086	0.186119763886965
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.1	-0.115618497289592	-0.120767945851449	0.281910686592855	0.251574048727074	-0.0056554607769568	0.0301808445388579	28	0.0140128383435744	0.0539813318956679	0.112953729593394
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.2	-0.205727514002268	-0.193580630394357	0.119989799823288	0.126373626373626	0.0821455289365934	0.0811235985743353	13	0.0237282031919291	0.0610233445786953	0.120588116655655
Adipose_Visceral_Omentum	Astle_et_al_2016_Eosinophil_counts	0.5	-0.114960789066647	-0.0598929256519013	1	1	-0.174200466181076	-0.203912716328066	2	0.0406205445156955	0.0575128858394619	0.0744052271632282
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0	0.101603350645266	0.0535696023099791	0.121471969770979	0.144181099234831	0.114460817728458	0.153890108997788	2692	0.0109264363097537	0.048115040109344	0.151409832300842
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0.01	0.15907360976344	0.0619107248946274	0.349947354105159	0.34594556579225	0.096275809229454	0.135447795082736	80	0.019908005306282	0.072981913438922	0.154159622286399
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0.05	-5.03358312501217e-05	-0.0521344269367035	0.661218296751196	0.621052631578947	0.143929370379307	0.18158484993754	19	0.052768084714645	0.107973201378095	0.129338607808807
Adrenal_Gland	Astle_et_al_2016_Eosinophil_counts	0.1	0.122700601876402	0.00193933110952678	0.824170163999841	0.607142857142857	0.207701710774458	0.217846207680868	7	0.052768084714645	0.0672670148354162	0.101622545300894
